name,CMC,Type,Color,Color Category,Oracle Text,tags,MTGO ID,Power,Toughness
Iron Apprentice,1,Artifact Creature — Construct,,Colorless,"This creature enters with a +1/+1 counter on it.\nWhen this creature dies, if it had counters on it, put those counters on target creature you control.",,,0,0
Vault Skirge,2,Artifact Creature — Phyrexian Imp,B,Black,({B/P} can be paid with either {B} or 2 life.)\nFlying\nLifelink (Damage dealt by this creature also causes you to gain that much life.),,,1,1
Perilous Myr,2,Artifact Creature — Phyrexian Myr,,Colorless,"When this creature dies, it deals 2 damage to any target.",,,1,1
Porcelain Legionnaire,3,Artifact Creature — Phyrexian Soldier,W,White,({W/P} can be paid with either {W} or 2 life.)\nFirst strike,,,3,1
Scrapwork Mutt,2,Artifact Creature — Dog,R,Red,"When this creature enters, you may discard a card. If you do, draw a card.\nUnearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,,2,1
Filigree Familiar,3,Artifact Creature — Fox,,Colorless,"When this creature enters, you gain 2 life.\nWhen this creature dies, draw a card.",,,2,2
Juggernaut,4,Artifact Creature — Juggernaut,,Colorless,This creature attacks each combat if able.\nThis creature can't be blocked by Walls.,,,5,3
Shardless Outlander,7,Artifact Creature — Construct Scout,,Colorless,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nBasic landcycling {2} ({2}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,,6,5
Ulamog's Crusher,8,Creature — Eldrazi,,Colorless,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)\nThis creature attacks each combat if able.",,,8,8
Mutagenic Growth,1,Instant,G,Green,({G/P} can be paid with either {G} or 2 life.)\nTarget creature gets +2/+2 until end of turn.,,,,
Gitaxian Probe,1,Sorcery,U,Blue,({U/P} can be paid with either {U} or 2 life.)\nLook at target player's hand.\nDraw a card.,,,,
Bonesplitter,1,Artifact — Equipment,,Colorless,Equipped creature gets +2/+0.\nEquip {1},,,,
Candy Trail,1,Artifact — Food Clue,,Colorless,"When this artifact enters, scry 2.\n{2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.",,,,
Flayer Husk,1,Artifact — Equipment,,Colorless,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +1/+1.\nEquip {2}",,,,
Leonin Bola,1,Artifact — Equipment,,Colorless,"Equipped creature has ""{T}, Unattach Leonin Bola: Tap target creature.""\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery. This card enters unattached and stays on the battlefield if the creature leaves.)",,,,
Wayfarer's Bauble,1,Artifact,,Colorless,"{2}, {T}, Sacrifice this artifact: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,,,
Glimmerlight,2,Artifact — Equipment,,Colorless,"When this Equipment enters, create a 1/1 white Glimmer enchantment creature token.\nEquipped creature gets +1/+1.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,,
Guardian Idol,2,Artifact,,Colorless,This artifact enters tapped.\n{T}: Add {C}.\n{2}: This artifact becomes a 2/2 Golem artifact creature until end of turn.,,,,
Mind Stone,2,Artifact,,Colorless,"{T}: Add {C}.\n{1}, {T}, Sacrifice this artifact: Draw a card.",,,,
Prophetic Prism,2,Artifact,,Colorless,"When this artifact enters, draw a card.\n{1}, {T}: Add one mana of any color.",,,,
Vulshok Morningstar,2,Artifact — Equipment,,Colorless,Equipped creature gets +2/+2.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),,,,
Bonder's Ornament,3,Artifact,,Colorless,"{T}: Add one mana of any color.\n{4}, {T}: Each player who controls a permanent named Bonder's Ornament draws a card.",,,,
Pristine Talisman,3,Artifact,,Colorless,{T}: Add {C}. You gain 1 life.,,,,
Renegade Freighter,3,Artifact — Vehicle,,Colorless,"Whenever this Vehicle attacks, it gets +1/+1 and gains trample until end of turn.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",,,4,3
Serrated Arrows,4,Artifact,,Colorless,"This artifact enters with three arrowhead counters on it.\nAt the beginning of your upkeep, if there are no arrowhead counters on this artifact, sacrifice it.\n{T}, Remove an arrowhead counter from this artifact: Put a -1/-1 counter on target creature.",,,,
Momentary Blink,2,Instant,W,Multicolored,"Exile target creature you control, then return it to the battlefield under its owner's control.\nFlashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Lyev Skyknight,3,Creature — Human Knight,UW,Multicolored,"Flying\nWhen this creature enters, detain target nonland permanent an opponent controls. (Until your next turn, that permanent can't attack or block and its activated abilities can't be activated.)",,,3,1
Silver Drake,3,Creature — Drake,UW,Multicolored,"Flying\nWhen this creature enters, return a white or blue creature you control to its owner's hand.",,,3,3
Cavern Harpy,2,Creature — Harpy Beast,BU,Multicolored,"Flying\nWhen this creature enters, return a blue or black creature you control to its owner's hand.\nPay 1 life: Return this creature to its owner's hand.",,,2,1
Soul Manipulation,3,Instant,BU,Multicolored,Choose one or both —\n• Counter target creature spell.\n• Return target creature card from your graveyard to your hand.,,,,
Dinrova Horror,6,Creature — Horror,BU,Multicolored,"When this creature enters, return target permanent to its owner's hand, then that player discards a card.",,,4,4
Body Dropper,2,Creature — Devil Warrior,BR,Multicolored,"Whenever you sacrifice another creature, put a +1/+1 counter on this creature.\n{B}{R}, Sacrifice another creature: This creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)",,,2,2
Fireblade Artist,2,Creature — Human Shaman,BR,Multicolored,"Haste\nAt the beginning of your upkeep, you may sacrifice a creature. When you do, this creature deals 2 damage to target opponent or planeswalker.",,,2,2
Blightning,3,Sorcery,BR,Multicolored,Blightning deals 3 damage to target player or planeswalker. That player or that planeswalker's controller discards two cards.,,,,
Goblin Anarchomancer,2,Creature — Goblin Shaman,GR,Multicolored,Each spell you cast that's red or green costs {1} less to cast.,,,2,2
Branching Bolt,3,Instant,GR,Multicolored,Choose one or both —\n• Branching Bolt deals 3 damage to target creature with flying.\n• Branching Bolt deals 3 damage to target creature without flying.,,,,
Writhing Chrysalis,4,Creature — Eldrazi Drone,GR,Multicolored,"Devoid (This card has no color.)\nWhen you cast this spell, create two 0/1 colorless Eldrazi Spawn creature tokens with ""Sacrifice this token: Add {C}.""\nReach\nWhenever you sacrifice another Eldrazi, put a +1/+1 counter on this creature.",,,2,3
Faithful Watchdog,2,Creature — Dog,GW,Multicolored,Vigilance\nThis creature enters with three +1/+1 counters on it.,,,0,0
Armadillo Cloak,3,Enchantment — Aura,GW,Multicolored,"Enchant creature\nEnchanted creature gets +2/+2 and has trample.\nWhenever enchanted creature deals damage, you gain that much life.",,,,
Captured by Lagacs,3,Enchantment — Aura,GW,Multicolored,"Enchant creature\nEnchanted creature can't attack or block.\nWhen this Aura enters, support 2. (Put a +1/+1 counter on each of up to two target creatures.)",,,,
Tithe Drinker,2,Creature — Vampire,BW,Multicolored,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",,,2,1
Kingpin's Pet,3,Creature — Thrull,BW,Multicolored,"Flying\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",,,2,2
Pillory of the Sleepless,3,Enchantment — Aura,BW,Multicolored,"Enchant creature\nEnchanted creature can't attack or block.\nEnchanted creature has ""At the beginning of your upkeep, you lose 1 life.""",,,,
Goblin Electromancer,2,Creature — Goblin Wizard,RU,Multicolored,Instant and sorcery spells you cast cost {1} less to cast.,,,2,2
Izzet Charm,2,Instant,RU,Multicolored,"Choose one —\n• Counter target noncreature spell unless its controller pays {2}.\n• Izzet Charm deals 2 damage to target creature.\n• Draw two cards, then discard two cards.",,,,
Bloodwater Entity,3,Creature — Elemental,RU,Multicolored,"Flying\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen this creature enters, you may put target instant or sorcery card from your graveyard on top of your library.",,,2,2
Infuse with Vitality,2,Instant,BG,Multicolored,"Until end of turn, target creature gains deathtouch and ""When this creature dies, return it to the battlefield tapped under its owner's control.""\nYou gain 2 life.",,,,
Putrid Leech,2,Creature — Zombie Leech,BG,Multicolored,Pay 2 life: This creature gets +2/+2 until end of turn. Activate only once each turn.,,,2,2
Dreg Mangler,3,Creature — Plant Zombie,BG,Multicolored,"Haste\nScavenge {3}{B}{G} ({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",,,3,3
Conduit Goblin,2,Creature — Goblin Warrior,RW,Multicolored,"When this creature enters, you get {E}{E} (two energy counters).\nAt the beginning of combat on your turn, you may pay {E}. If you do, another target creature you control gets +1/+0 and gains haste until end of turn.",,,2,2
Tenth District Legionnaire,2,Creature — Human Soldier,RW,Multicolored,"Haste\nWhenever you cast a spell that targets this creature, put a +1/+1 counter on this creature, then scry 1.",,,2,2
Rally the Peasants,3,Instant,W,Multicolored,Creatures you control get +2/+0 until end of turn.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),,,,
Coiling Oracle,2,Creature — Snake Elf Druid,GU,Multicolored,"When this creature enters, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put that card into your hand.",,,1,1
Growth Spiral,2,Instant,GU,Multicolored,Draw a card. You may put a land card from your hand onto the battlefield.,,,,
Snapping Voidcraw,3,Creature — Eldrazi Turtle,GU,Multicolored,"Devoid (This card has no color.)\n{T}: Add {C}{C}.\n{3}{C}, {T}: Draw a card.",,,1,3
Judge's Familiar,1,Creature — Bird,UW,Multicolored,Flying\nSacrifice this creature: Counter target instant or sorcery spell unless its controller pays {1}.,,,1,1
Dimir Guildmage,2,Creature — Human Wizard,BU,Multicolored,({U/B} can be paid with either {U} or {B}.)\n{3}{U}: Target player draws a card. Activate only as a sorcery.\n{3}{B}: Target player discards a card. Activate only as a sorcery.,,,2,2
Cindering Cutthroat,3,Creature — Lizard Assassin,BR,Multicolored,This creature enters with a +1/+1 counter on it if an opponent lost life this turn.\n{1}{B/R}: This creature gains menace until end of turn. (It can't be blocked except by two or more creatures.),,,3,2
Burning-Tree Emissary,2,Creature — Human Shaman,GR,Multicolored,"When this creature enters, add {R}{G}.",,,2,2
Safehold Elite,2,Creature — Elf Scout,GW,Multicolored,"Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",,,2,2
Gift of Orzhova,3,Enchantment — Aura,BW,Multicolored,Enchant creature\nEnchanted creature gets +1/+1 and has flying and lifelink.,,,,
Tempest Angler,3,Creature — Otter Wizard,RU,Multicolored,"Whenever you cast a noncreature spell, put a +1/+1 counter on this creature.",,,2,2
Desecrator Hag,4,Creature — Hag,BG,Multicolored,"When this creature enters, return to your hand the creature card in your graveyard with the greatest power. If two or more cards are tied for greatest power, you choose one of them.",,,2,2
Dog Walker,2,Creature — Human Citizen,RW,Multicolored,"Vigilance\nDisguise {R/W}{R/W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)\nWhen this creature is turned face up, create two tapped 1/1 white Dog creature tokens.",,,3,1
Quandrix Pledgemage,3,Creature — Merfolk Druid,GU,Multicolored,"Magecraft — Whenever you cast or copy an instant or sorcery spell, put a +1/+1 counter on this creature.",,,2,2
Azorius Chancery,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {W}{U}.",,,,
Skybridge Towers,0,Land,,Lands,"This land enters tapped.\n{T}: Add {W} or {U}.\n{2}{W}{U}, {T}, Sacrifice this land: Draw a card.",,,,
Tranquil Cove,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {W} or {U}.",,,,
Dimir Aqueduct,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {U}{B}.",,,,
Dismal Backwater,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {U} or {B}.",,,,
Waterfront District,0,Land,,Lands,"This land enters tapped.\n{T}: Add {U} or {B}.\n{2}{U}{B}, {T}, Sacrifice this land: Draw a card.",,,,
Jagged Barrens,0,Land — Desert,,Lands,"This land enters tapped.\nWhen this land enters, it deals 1 damage to target opponent.\n{T}: Add {B} or {R}.",,,,
Rakdos Carnarium,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {B}{R}.",,,,
Tramway Station,0,Land,,Lands,"This land enters tapped.\n{T}: Add {B} or {R}.\n{2}{B}{R}, {T}, Sacrifice this land: Draw a card.",,,,
Bristling Backwoods,0,Land — Desert,,Lands,"This land enters tapped.\nWhen this land enters, it deals 1 damage to target opponent.\n{T}: Add {R} or {G}.",,,,
Gruul Turf,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {R}{G}.",,,,
Racers' Ring,0,Land,,Lands,"This land enters tapped.\n{T}: Add {R} or {G}.\n{2}{R}{G}, {T}, Sacrifice this land: Draw a card.",,,,
Botanical Plaza,0,Land,,Lands,"This land enters tapped.\n{T}: Add {G} or {W}.\n{2}{G}{W}, {T}, Sacrifice this land: Draw a card.",,,,
Radiant Grove,0,Land — Forest Plains,,Lands,({T}: Add {G} or {W}.)\nThis land enters tapped.,,,,
Selesnya Sanctuary,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {G}{W}.",,,,
Orzhov Basilica,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {W}{B}.",,,,
Scoured Barrens,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {W} or {B}.",,,,
Silverquill Campus,0,Land,,Lands,"This land enters tapped.\n{T}: Add {W} or {B}.\n{4}, {T}: Scry 1.",,,,
Eroded Canyon,0,Land — Desert,,Lands,"This land enters tapped.\nWhen this land enters, it deals 1 damage to target opponent.\n{T}: Add {U} or {R}.",,,,
Izzet Boilerworks,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {U}{R}.",,,,
Prismari Campus,0,Land,,Lands,"This land enters tapped.\n{T}: Add {U} or {R}.\n{4}, {T}: Scry 1.",,,,
Golgari Rot Farm,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {B}{G}.",,,,
Haunted Mire,0,Land — Swamp Forest,,Lands,({T}: Add {B} or {G}.)\nThis land enters tapped.,,,,
Witherbloom Campus,0,Land,,Lands,"This land enters tapped.\n{T}: Add {B} or {G}.\n{4}, {T}: Scry 1.",,,,
Abraded Bluffs,0,Land — Desert,,Lands,"This land enters tapped.\nWhen this land enters, it deals 1 damage to target opponent.\n{T}: Add {R} or {W}.",,,,
Boros Garrison,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {R}{W}.",,,,
Lorehold Campus,0,Land,,Lands,"This land enters tapped.\n{T}: Add {R} or {W}.\n{4}, {T}: Scry 1.",,,,
Quandrix Campus,0,Land,,Lands,"This land enters tapped.\n{T}: Add {G} or {U}.\n{4}, {T}: Scry 1.",,,,
Simic Growth Chamber,0,Land,,Lands,"This land enters tapped.\nWhen this land enters, return a land you control to its owner's hand.\n{T}: Add {G}{U}.",,,,
Tangled Islet,0,Land — Forest Island,,Lands,({T}: Add {G} or {U}.)\nThis land enters tapped.,,,,
Tranquil Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle.\nCycling {G}{W}{U} ({G}{W}{U}, Discard this card: Draw a card.)",,,,
Contaminated Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle.\nCycling {W}{U}{B} ({W}{U}{B}, Discard this card: Draw a card.)",,,,
Seething Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.\nCycling {U}{B}{R} ({U}{B}{R}, Discard this card: Draw a card.)",,,,
Twisted Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle.\nCycling {B}{R}{G} ({B}{R}{G}, Discard this card: Draw a card.)",,,,
Sheltering Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle.\nCycling {R}{G}{W} ({R}{G}{W}, Discard this card: Draw a card.)",,,,
Shattered Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Mountain, Plains, or Swamp card, put it onto the battlefield tapped, then shuffle.\nCycling {R}{W}{B} ({R}{W}{B}, Discard this card: Draw a card.)",,,,
Bountiful Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle.\nCycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)",,,,
Deceptive Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Plains, Swamp, or Forest card, put it onto the battlefield tapped, then shuffle.\nCycling {W}{B}{G} ({W}{B}{G}, Discard this card: Draw a card.)",,,,
Perilous Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Island, Mountain, or Plains card, put it onto the battlefield tapped, then shuffle.\nCycling {U}{R}{W} ({U}{R}{W}, Discard this card: Draw a card.)",,,,
Foreboding Landscape,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Search your library for a basic Swamp, Forest, or Island card, put it onto the battlefield tapped, then shuffle.\nCycling {B}{G}{U} ({B}{G}{U}, Discard this card: Draw a card.)",,,,
Basilisk Gate,0,Land — Gate,,Lands,"{T}: Add {C}.\n{2}, {T}: Target creature gets +X/+X until end of turn, where X is the number of Gates you control. Activate only as a sorcery.",,,,
Conduit Pylons,0,Land — Desert,,Lands,"When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)\n{T}: Add {C}.\n{1}, {T}: Add one mana of any color.",,,,
Desert,0,Land — Desert,,Lands,{T}: Add {C}.\n{T}: This land deals 1 damage to target attacking creature. Activate only during the end of combat step.,,,,
Escape Tunnel,0,Land,,Lands,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.\n{T}, Sacrifice this land: Target creature with power 2 or less can't be blocked this turn.",,,,
Haunted Fengraf,0,Land,,Lands,"{T}: Add {C}.\n{3}, {T}, Sacrifice this land: Return a creature card at random from your graveyard to your hand.",,,,
Hidden Grotto,0,Land,,Lands,"When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)\n{T}: Add {C}.\n{1}, {T}: Add one mana of any color.",,,,
Night Market,0,Land,,Lands,"This land enters tapped. As it enters, choose a color.\n{T}: Add one mana of the chosen color.\nCycling {3} ({3}, Discard this card: Draw a card.)",,,,
Quicksand,0,Land,,Lands,"{T}: Add {C}.\n{T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.",,,,
Tocasia's Dig Site,0,Land,,Lands,"{T}: Add {C}.\n{3}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,,,
